Miasto,Data_Pomiaru,Temperatura,Wilgotosc,Cisnienie,Wiatr,Deszcz,Snieg,Zachmurzenie,Rok,Miesiac
Warszawa,1/16/2021,-5,90,1003,20,3,16,93,2021,1
Krakow,1/17/2021,-9,89,981,11,3,66,92,2021,1
Warszawa,9/27/2023,19,56,1013,17,0,0,0,2023,9
Warszawa,8/4/2021,15,89,1003,5,8,0,67,2021,8
Krakow,4/4/2022,1,62,977,25,0,0,33,2022,4
Krakow,8/5/2021,15,97,973,17,47,0,100,2021,8
Warszawa,6/13/2021,13,78,1004,29,3,0,38,2021,6
Warszawa,1/1/2022,6,95,1006,22,0,0,99,2022,1
Krakow,1/2/2022,6,92,982,19,0,0,90,2022,1
Warszawa,9/20/2021,8,74,1006,17,0,0,91,2021,9
Krakow,9/21/2021,8,87,988,16,2,0,77,2021,9
Krakow,8/10/2022,17,61,988,13,0,0,10,2022,8
Krakow,9/27/2023,17,62,988,10,0,0,0,2023,9
Warszawa,8/10/2022,18,61,1014,13,0,0,13,2022,8
Warszawa,1/17/2021,-11,85,1008,12,0,0,78,2021,1
Krakow,1/18/2021,-9,86,984,8,0,0,68,2021,1
Warszawa,4/22/2021,7,75,1002,22,2,0,37,2021,4
Warszawa,8/5/2021,14,92,998,17,17,0,94,2021,8
Warszawa,5/26/2022,14,74,1003,27,0,0,57,2022,5
Krakow,5/27/2022,14,76,979,27,2,0,80,2022,5
Warszawa,3/7/2021,0,92,1004,35,4,0,98,2021,3
Krakow,3/8/2021,0,84,982,14,1,0,94,2021,3
Warszawa,9/21/2021,8,83,1011,21,1,0,96,2021,9
Krakow,9/22/2021,8,90,988,15,6,0,78,2021,9
Warszawa,1/2/2022,5,97,1003,26,2,0,100,2022,1
Krakow,1/3/2022,6,90,973,37,0,0,79,2022,1
Krakow,8/9/2022,17,60,989,14,0,0,5,2022,8
Warszawa,9/22/2021,9,76,1009,19,0,0,67,2021,9
Warszawa,8/9/2022,18,57,1013,12,0,0,40,2022,8
Krakow,9/23/2021,11,75,982,25,0,0,86,2021,9
Warszawa,8/11/2022,19,58,1013,14,0,0,40,2022,8
Krakow,8/6/2021,14,84,968,25,5,0,70,2021,8
Warszawa,1/18/2021,-12,84,1010,9,0,0,46,2021,1
Krakow,1/19/2021,-1,93,978,21,4,6,96,2021,1
Warszawa,9/23/2021,12,80,999,28,2,0,99,2021,9
Krakow,9/24/2021,12,76,977,30,1,0,89,2021,9
Warszawa,8/6/2021,13,96,989,30,32,0,100,2021,8
Krakow,8/7/2021,18,68,974,15,0,0,16,2021,8
Warszawa,1/3/2022,6,95,992,31,3,0,97,2022,1
Krakow,1/4/2022,5,92,964,28,2,0,97,2022,1
Warszawa,1/19/2021,-8,94,1002,18,2,0,86,2021,1
Warszawa,9/24/2021,12,82,995,36,3,0,99,2021,9
Krakow,9/25/2021,14,78,984,19,0,0,52,2021,9
Krakow,9/15/2022,15,90,968,17,9,0,96,2022,9
Warszawa,9/15/2022,15,73,990,19,0,0,93,2022,9
Warszawa,1/4/2022,5,98,986,22,9,0,97,2022,1
Krakow,1/5/2022,3,95,964,21,7,0,99,2022,1
Krakow,4/23/2021,4,78,986,23,2,0,53,2021,4
Warszawa,1/5/2022,3,94,986,25,3,0,100,2022,1
Krakow,1/6/2022,0,86,975,30,1,0,96,2022,1
Warszawa,9/25/2021,14,91,1001,25,2,0,97,2021,9
Krakow,1/20/2021,1,95,975,20,2,0,77,2021,1
Warszawa,4/4/2022,2,77,996,33,1,0,80,2022,4
Warszawa,11/10/2021,3,96,1017,19,0,0,75,2021,11
Krakow,11/11/2021,3,79,988,9,0,0,22,2021,11
Krakow,4/5/2022,4,87,968,38,2,0,92,2022,4
Warszawa,9/26/2023,17,69,1015,16,0,0,0,2023,9
Krakow,9/26/2023,16,75,988,10,0,0,23,2023,9
Warszawa,8/7/2021,18,74,997,19,0,0,37,2021,8
Krakow,6/14/2021,13,71,985,14,0,0,19,2021,6
Warszawa,1/20/2021,0,99,997,24,2,0,99,2021,1
Warszawa,9/17/2022,11,77,991,20,0,0,52,2022,9
Krakow,1/21/2021,0,96,972,13,0,0,45,2021,1
Warszawa,4/23/2021,4,79,1007,22,2,0,42,2021,4
Krakow,4/24/2021,6,71,986,16,0,0,72,2021,4
Krakow,9/26/2021,15,81,986,11,0,0,6,2021,9
Warszawa,4/5/2022,3,90,987,36,6,0,83,2022,4
Warszawa,1/21/2021,1,99,994,26,0,0,88,2021,1
Krakow,8/8/2021,19,65,977,11,0,0,44,2021,8
Krakow,1/22/2021,2,96,965,20,0,0,53,2021,1
Warszawa,1/22/2021,2,100,988,27,0,0,98,2021,1
Warszawa,1/6/2022,0,92,995,32,3,0,91,2022,1
Krakow,1/7/2022,-2,72,983,13,0,0,11,2022,1
Krakow,1/23/2021,2,98,961,17,0,0,90,2021,1
Warszawa,3/8/2021,-1,91,1006,20,0,0,35,2021,3
Krakow,3/9/2021,-1,70,985,8,0,0,73,2021,3
Warszawa,11/11/2021,4,94,1012,17,0,0,81,2021,11
Krakow,11/12/2021,2,88,986,9,0,0,7,2021,11
Krakow,9/25/2023,14,93,991,13,0,0,71,2023,9
Warszawa,9/25/2023,16,72,1017,17,0,0,23,2023,9
Warszawa,9/26/2021,14,91,1010,8,0,0,70,2021,9
Krakow,9/27/2021,14,85,982,17,0,0,53,2021,9
Warszawa,1/23/2021,3,99,986,25,2,0,99,2021,1
Krakow,1/24/2021,0,94,962,15,0,0,84,2021,1
Warszawa,8/8/2021,19,72,1000,20,0,0,62,2021,8
Warszawa,5/27/2022,13,76,999,28,5,0,50,2022,5
Krakow,8/9/2021,19,70,986,9,0,0,44,2021,8
Warszawa,1/24/2021,1,97,985,14,4,0,99,2021,1
Krakow,9/24/2023,11,94,988,13,20,0,99,2023,9
Warszawa,9/24/2023,13,83,1013,11,4,0,92,2023,9
Warszawa,1/7/2022,-2,92,1006,23,0,0,40,2022,1
Krakow,1/25/2021,0,94,964,19,4,23,100,2021,1
Krakow,5/28/2022,11,65,977,24,1,0,18,2022,5
Warszawa,9/23/2023,16,85,1001,15,8,0,94,2023,9
Krakow,4/6/2022,8,83,969,28,0,0,69,2022,4
Krakow,9/23/2023,15,84,978,12,7,0,95,2023,9
Warszawa,8/9/2021,19,68,1007,11,2,0,25,2021,8
Krakow,8/10/2021,20,63,983,8,0,0,45,2021,8
Warszawa,4/6/2022,6,98,990,21,9,0,98,2022,4
Krakow,4/7/2022,11,71,962,24,2,0,63,2022,4
Warszawa,4/24/2021,5,64,1009,19,0,0,37,2021,4
Warszawa,5/28/2022,9,77,998,27,4,0,85,2022,5
Krakow,4/25/2021,5,67,984,15,0,0,77,2021,4
Krakow,5/29/2022,11,62,976,9,0,0,52,2022,5
Krakow,1/8/2022,-4,72,976,10,0,0,44,2022,1
Warszawa,9/22/2023,21,55,996,22,0,0,32,2023,9
Krakow,9/22/2023,20,59,972,17,0,0,50,2023,9
Warszawa,11/12/2021,5,94,1010,12,0,0,93,2021,11
Krakow,11/13/2021,1,84,981,7,0,0,36,2021,11
Warszawa,11/13/2021,4,91,1008,18,0,0,84,2021,11
Warszawa,9/27/2021,11,78,1010,22,0,0,7,2021,9
Krakow,9/28/2021,10,88,988,13,0,0,68,2021,9
Warszawa,1/8/2022,-2,93,1001,18,0,0,71,2022,1
Krakow,1/9/2022,-2,84,969,7,0,0,46,2022,1
Warszawa,6/14/2021,16,64,1007,15,0,0,2,2021,6
Warszawa,8/10/2021,19,58,1006,9,0,0,35,2021,8
Krakow,8/11/2021,18,65,982,14,0,0,16,2021,8
Krakow,6/15/2021,16,67,982,3,0,0,46,2021,6
Warszawa,5/29/2022,12,71,1000,15,0,0,81,2022,5
Krakow,11/14/2021,1,88,986,9,0,0,35,2021,11
Krakow,5/30/2022,10,69,978,10,0,0,36,2022,5
Warszawa,1/25/2021,0,97,988,20,4,0,100,2021,1
Warszawa,1/9/2022,-1,96,996,13,0,0,74,2022,1
Warszawa,11/14/2021,4,89,1012,8,0,0,97,2021,11
Krakow,11/15/2021,2,95,994,16,0,0,73,2021,11
Warszawa,9/28/2021,10,78,1012,21,0,0,78,2021,9
Krakow,9/29/2021,10,80,985,13,0,0,69,2021,9
Warszawa,3/9/2021,-1,72,1011,7,0,0,64,2021,3
Warszawa,8/11/2021,17,76,1005,15,2,0,7,2021,8
Krakow,8/12/2021,17,64,986,5,0,0,3,2021,8
Warszawa,6/15/2021,19,60,1006,11,0,0,63,2021,6
Krakow,6/16/2021,19,63,982,8,0,0,49,2021,6
Warszawa,8/12/2021,18,65,1011,13,0,0,0,2021,8
Warszawa,11/15/2021,4,83,1020,18,0,0,99,2021,11
Krakow,8/13/2021,19,61,987,7,0,0,15,2021,8
Krakow,11/16/2021,1,87,989,5,0,0,14,2021,11
Warszawa,9/29/2021,11,72,1012,29,0,0,66,2021,9
Krakow,9/30/2021,10,90,992,11,9,0,93,2021,9
Warszawa,4/7/2022,11,80,980,28,2,0,81,2022,4
Warszawa,8/13/2021,20,55,1011,14,0,0,28,2021,8
Krakow,4/8/2022,8,74,963,31,9,0,74,2022,4
Warszawa,11/16/2021,4,88,1016,15,0,0,93,2021,11
Warszawa,9/30/2021,10,89,1014,13,9,0,99,2021,9
Krakow,11/17/2021,1,87,984,7,0,0,43,2021,11
Warszawa,5/30/2022,11,80,1000,13,7,0,64,2022,5
Krakow,5/31/2022,14,59,980,10,0,0,27,2022,5
Warszawa,4/25/2021,4,57,1007,13,0,0,58,2021,4
Warszawa,4/8/2022,6,83,981,30,4,0,84,2022,4
Krakow,4/26/2021,3,58,982,13,0,0,36,2021,4
Krakow,4/9/2022,4,89,966,19,3,0,99,2022,4
Warszawa,6/16/2021,17,76,1007,10,0,0,65,2021,6
Krakow,10/1/2021,8,83,990,12,0,0,48,2021,10
Krakow,3/10/2021,-1,66,986,8,0,0,21,2021,3
Warszawa,10/1/2021,9,83,1015,11,0,0,10,2021,10
Warszawa,4/9/2022,5,76,989,18,1,0,81,2022,4
Krakow,4/10/2022,3,79,980,17,0,0,69,2022,4
Warszawa,11/17/2021,4,88,1009,17,0,0,80,2021,11
Warszawa,3/10/2021,-1,69,1010,9,0,0,24,2021,3
Krakow,3/11/2021,0,74,975,19,1,0,71,2021,3
Warszawa,4/10/2022,3,81,1001,21,0,0,43,2022,4
Krakow,6/17/2021,20,62,983,15,0,0,4,2021,6
Warszawa,5/31/2022,14,54,1005,14,0,0,5,2022,5
Krakow,4/11/2022,3,78,983,16,1,0,67,2022,4
Warszawa,11/18/2021,6,85,1008,29,0,0,99,2021,11
Krakow,6/1/2022,15,69,978,12,2,0,56,2022,6
Warszawa,6/17/2021,20,54,1009,13,0,0,14,2021,6
Krakow,6/18/2021,21,61,985,15,0,0,1,2021,6
Warszawa,4/26/2021,3,66,1006,13,0,0,64,2021,4
Krakow,4/27/2021,4,52,981,12,0,0,10,2021,4
Krakow,11/19/2021,6,89,985,34,9,0,100,2021,11
Warszawa,4/11/2022,3,82,1007,16,0,0,56,2022,4
Krakow,4/12/2022,6,60,985,9,0,0,18,2022,4
Warszawa,6/1/2022,15,73,1002,16,5,0,52,2022,6
Krakow,6/2/2022,14,71,984,11,0,0,43,2022,6
Warszawa,6/2/2022,14,69,1007,12,3,0,39,2022,6
Krakow,6/3/2022,16,56,985,12,0,0,24,2022,6
Warszawa,11/19/2021,9,89,1002,40,6,0,100,2021,11
Krakow,11/20/2021,7,90,985,29,1,0,96,2021,11
Warszawa,4/27/2021,4,60,1005,8,0,0,9,2021,4
Warszawa,6/18/2021,23,54,1008,17,0,0,0,2021,6
Krakow,6/19/2021,22,67,983,16,0,0,0,2021,6
Warszawa,3/11/2021,0,83,999,30,6,3,72,2021,3
Krakow,3/12/2021,2,93,973,29,1,0,65,2021,3
Warszawa,6/3/2022,15,59,1011,9,0,0,4,2022,6
Warszawa,3/12/2021,3,97,992,30,1,0,87,2021,3
Krakow,3/13/2021,4,84,970,30,0,0,60,2021,3
Warszawa,6/19/2021,24,56,1006,14,0,0,1,2021,6
Krakow,6/20/2021,21,65,978,13,0,0,2,2021,6
Krakow,4/28/2021,7,58,977,14,0,0,11,2021,4
Krakow,6/4/2022,16,77,982,10,0,0,73,2022,6
Warszawa,4/28/2021,7,55,1002,15,0,0,2,2021,4
Krakow,4/29/2021,10,78,971,12,0,0,71,2021,4
Warszawa,4/29/2021,11,80,996,18,1,0,82,2021,4
Krakow,4/30/2021,11,75,974,14,0,0,51,2021,4
Warszawa,3/13/2021,4,93,991,34,4,0,86,2021,3
Krakow,3/14/2021,4,86,969,25,0,0,97,2021,3
Warszawa,3/14/2021,4,91,990,32,1,0,53,2021,3
Warszawa,11/20/2021,9,86,1002,34,1,0,100,2021,11
Krakow,3/15/2021,2,90,972,6,0,0,88,2021,3
Warszawa,6/4/2022,18,62,1006,11,0,0,61,2022,6
Warszawa,4/12/2022,5,67,1009,7,0,0,15,2022,4
Krakow,4/13/2022,7,58,986,13,0,0,11,2022,4
Krakow,6/5/2022,17,62,985,11,0,0,3,2022,6
Warszawa,6/5/2022,18,59,1008,11,0,0,4,2022,6
Krakow,6/6/2022,19,57,981,9,0,0,63,2022,6
Warszawa,4/13/2022,7,57,1012,11,0,0,49,2022,4
Krakow,4/14/2022,11,61,985,7,0,0,60,2022,4
Warszawa,6/20/2021,24,64,1002,16,0,0,19,2021,6
Krakow,6/21/2021,23,68,974,12,0,0,3,2021,6
Warszawa,4/30/2021,10,76,997,20,1,0,65,2021,4
Krakow,5/1/2021,10,79,975,13,0,0,74,2021,5
Warszawa,6/6/2022,19,56,1005,15,0,0,51,2022,6
Krakow,6/7/2022,20,68,977,8,0,0,53,2022,6
Warszawa,6/7/2022,20,64,1000,8,0,0,67,2022,6
Warszawa,3/15/2021,2,93,997,12,0,0,62,2021,3
Krakow,3/16/2021,2,84,974,13,4,0,78,2021,3
Warszawa,6/21/2021,25,60,998,17,0,0,0,2021,6
Warszawa,4/14/2022,11,62,1007,18,0,0,66,2022,4
Krakow,4/15/2022,10,79,983,18,3,0,88,2022,4
Krakow,6/22/2021,24,64,975,6,0,0,26,2021,6
Warszawa,4/15/2022,10,82,1006,18,3,0,85,2022,4
Warszawa,6/22/2021,26,58,998,11,0,0,6,2021,6
Krakow,6/23/2021,22,77,981,9,0,0,31,2021,6
Warszawa,3/16/2021,3,87,1000,9,0,0,39,2021,3
Krakow,4/16/2022,4,92,989,17,5,0,87,2022,4
Warszawa,5/1/2021,7,87,1002,11,1,0,94,2021,5
Krakow,5/2/2021,9,86,970,31,7,0,98,2021,5
Krakow,3/17/2021,1,88,979,19,3,0,100,2021,3
Warszawa,4/16/2022,5,66,1014,24,0,0,66,2022,4
Krakow,4/17/2022,3,75,989,9,0,0,73,2022,4
Warszawa,4/17/2022,6,61,1014,13,0,0,76,2022,4
Krakow,4/18/2022,4,67,982,6,1,0,77,2022,4
Warszawa,3/17/2021,2,85,1004,20,0,0,98,2021,3
Warszawa,4/18/2022,6,56,1006,13,0,0,31,2022,4
Warszawa,6/23/2021,23,69,1004,10,1,0,24,2021,6
Krakow,6/24/2021,24,70,979,12,3,0,37,2021,6
Warszawa,6/24/2021,23,71,1005,8,1,0,55,2021,6
Warszawa,5/2/2021,8,93,992,31,13,0,100,2021,5
Krakow,5/3/2021,6,75,981,25,1,0,66,2021,5
Warszawa,5/3/2021,5,79,1002,29,1,0,77,2021,5
Krakow,5/4/2021,10,58,976,21,0,0,50,2021,5
Warszawa,5/4/2021,9,72,998,24,4,0,63,2021,5
Krakow,5/5/2021,10,80,968,25,5,0,96,2021,5
Warszawa,5/5/2021,9,88,990,25,10,0,78,2021,5
Krakow,5/6/2021,7,66,974,23,1,0,50,2021,5
Warszawa,5/6/2021,8,65,995,29,0,0,29,2021,5
Krakow,10/22/2022,10,76,980,14,1,0,81,2022,10
Krakow,12/8/2022,1,83,975,14,0,0,85,2022,12
Krakow,8/8/2022,16,56,987,13,0,0,81,2022,8
Krakow,12/3/2023,-3,85,981,24,3,1,80,2023,12
Krakow,6/14/2023,12,80,980,6,1,0,21,2023,6
Warszawa,6/14/2023,13,87,1005,10,3,0,97,2023,6
Warszawa,10/22/2022,9,93,1002,17,4,0,100,2022,10
Krakow,2/27/2023,0,83,988,13,1,0,99,2023,2
Warszawa,11/3/2022,8,90,1009,16,0,0,53,2022,11
Krakow,11/3/2022,8,75,984,12,0,0,18,2022,11
Krakow,8/2/2023,18,64,969,16,0,0,49,2023,8
Warszawa,10/21/2022,5,72,1007,20,3,0,71,2022,10
Warszawa,8/2/2023,19,67,992,17,2,0,66,2023,8
Warszawa,1/23/2023,1,96,1023,12,0,0,100,2023,1
Krakow,1/23/2023,0,98,996,14,0,0,100,2023,1
Warszawa,11/2/2022,10,92,1008,18,0,0,74,2022,11
Krakow,3/11/2023,2,87,962,36,5,17,99,2023,3
Warszawa,11/21/2023,0,90,1002,17,1,0,100,2023,11
Krakow,11/21/2023,5,94,977,17,6,0,99,2023,11
Warszawa,12/3/2023,-1,87,1004,21,0,0,99,2023,12
Warszawa,8/8/2022,18,56,1013,13,0,0,28,2022,8
Krakow,10/21/2022,6,68,983,7,0,0,71,2022,10
Krakow,1/22/2023,0,96,988,16,0,0,98,2023,1
Warszawa,5/8/2023,8,61,1019,9,0,0,0,2023,5
Krakow,5/8/2023,6,72,992,19,0,0,61,2023,5
Krakow,12/15/2023,0,87,993,17,0,0,67,2023,12
Krakow,11/20/2023,6,93,972,23,17,0,99,2023,11
Warszawa,12/8/2022,0,91,998,22,0,0,61,2022,12
Warszawa,12/15/2023,0,93,1016,23,0,0,92,2023,12
Warszawa,2/27/2023,-1,82,1013,11,0,0,54,2023,2
Krakow,5/7/2023,6,89,986,17,0,0,99,2023,5
Krakow,10/20/2022,6,72,989,10,0,0,28,2022,10
Krakow,11/2/2022,12,73,985,18,0,0,50,2022,11
Warszawa,10/20/2022,5,79,1015,10,0,0,35,2022,10
Warszawa,6/13/2023,11,84,1007,14,1,0,78,2023,6
Krakow,6/13/2023,10,77,983,10,0,0,44,2023,6
Warszawa,8/1/2023,19,72,993,26,5,0,96,2023,8
Krakow,2/26/2023,0,87,976,16,0,0,95,2023,2
Krakow,12/14/2023,1,98,975,9,2,0,100,2023,12
Warszawa,12/2/2023,-2,76,995,10,3,22,98,2023,12
Warszawa,8/7/2022,16,60,1013,10,0,0,4,2022,8
Warszawa,4/26/2023,6,76,1000,22,0,0,82,2023,4
Krakow,4/26/2023,6,68,978,21,0,0,78,2023,4
Warszawa,12/14/2023,1,94,1000,13,0,0,100,2023,12
Warszawa,3/11/2023,2,95,982,27,11,19,92,2023,3
Warszawa,5/7/2023,7,73,1014,22,1,0,51,2023,5
Warszawa,11/1/2022,9,90,1006,9,0,0,64,2022,11
Krakow,8/7/2022,16,63,987,14,0,0,79,2022,8
Krakow,11/1/2022,10,69,982,12,0,0,61,2022,11
Krakow,12/2/2023,-2,94,967,21,18,114,100,2023,12
Krakow,4/25/2023,7,94,972,16,13,0,97,2023,4
Krakow,4/15/2023,9,72,971,10,0,0,66,2023,4
Warszawa,4/15/2023,8,90,999,25,6,0,100,2023,4
Krakow,10/19/2022,10,86,988,21,1,0,83,2022,10
Warszawa,2/26/2023,0,89,999,18,1,0,96,2023,2
Krakow,5/6/2023,11,84,982,17,2,0,77,2023,5
Warszawa,5/6/2023,8,80,1010,29,21,0,97,2023,5
Warszawa,11/20/2023,1,97,996,10,4,0,100,2023,11
Warszawa,3/10/2023,2,99,983,23,8,23,98,2023,3
Krakow,8/6/2022,17,79,984,14,1,0,74,2022,8
Krakow,6/12/2023,12,69,985,16,0,0,3,2023,6
Warszawa,12/1/2023,-2,78,995,8,0,0,55,2023,12
Warszawa,11/26/2022,0,91,1014,9,0,0,84,2022,11
Krakow,11/26/2022,2,93,989,13,2,0,69,2022,11
Warszawa,6/12/2023,15,48,1010,19,0,0,2,2023,6
Warszawa,1/22/2023,1,95,1018,19,0,0,100,2023,1
Warszawa,12/12/2023,2,99,994,15,2,0,99,2023,12
Krakow,12/12/2023,2,95,973,23,1,0,77,2023,12
Warszawa,10/19/2022,9,86,1010,27,1,0,50,2022,10
Warszawa,4/25/2023,8,90,993,20,11,0,93,2023,4
Warszawa,8/6/2022,17,82,1008,17,13,0,73,2022,8
Krakow,12/1/2023,-1,88,968,8,3,16,100,2023,12
Krakow,12/11/2023,2,93,969,27,0,0,50,2023,12
Warszawa,11/30/2023,-2,89,994,12,0,0,66,2023,11
Krakow,3/10/2023,9,84,959,23,2,0,79,2023,3
Krakow,3/9/2023,5,93,961,24,5,0,91,2023,3
Warszawa,12/7/2022,1,93,997,24,6,0,100,2022,12
Krakow,12/7/2022,1,90,976,22,2,0,89,2022,12
Warszawa,11/19/2023,0,89,1002,16,9,0,100,2023,11
Krakow,11/19/2023,1,86,978,15,2,0,95,2023,11
Krakow,8/5/2022,23,46,979,7,0,0,3,2022,8
Warszawa,5/5/2023,11,57,1012,16,0,0,76,2023,5
Krakow,5/5/2023,11,64,985,12,0,0,54,2023,5
Krakow,12/6/2022,1,97,977,11,6,0,97,2022,12
Krakow,2/25/2023,3,87,961,34,5,0,93,2023,2
Krakow,8/1/2023,18,67,971,16,3,0,89,2023,8
Krakow,10/18/2022,14,63,988,16,1,0,28,2022,10
Warszawa,3/9/2023,0,95,987,23,5,5,100,2023,3
Warszawa,10/18/2022,14,72,1011,19,8,0,79,2022,10
Warszawa,12/6/2022,1,98,1002,12,5,0,100,2022,12
Warszawa,2/25/2023,2,95,982,18,5,0,93,2023,2
Warszawa,11/18/2023,0,91,1010,11,2,0,100,2023,11
Krakow,10/17/2022,14,67,992,9,0,0,8,2022,10
Warszawa,6/11/2023,17,51,1010,22,0,0,1,2023,6
Krakow,6/11/2023,15,84,983,22,0,0,60,2023,6
Warszawa,4/24/2023,15,64,994,15,0,0,68,2023,4
Krakow,4/24/2023,13,63,970,12,1,0,65,2023,4
Warszawa,4/14/2023,10,80,997,25,0,0,95,2023,4
Warszawa,1/21/2023,0,97,1006,32,16,50,100,2023,1
Krakow,1/21/2023,-1,96,979,12,5,47,99,2023,1
Warszawa,5/4/2023,10,53,1012,6,0,0,15,2023,5
Warszawa,10/31/2022,11,94,1010,9,0,0,87,2022,10
Krakow,11/30/2023,-1,70,969,11,0,0,55,2023,11
Krakow,10/31/2022,12,67,985,8,0,0,26,2022,10
Warszawa,8/5/2022,24,48,1003,16,0,0,4,2022,8
Warszawa,7/31/2023,19,67,999,15,0,0,78,2023,7
Krakow,7/31/2023,18,64,976,14,0,0,72,2023,7
Krakow,5/4/2023,8,71,987,9,0,0,21,2023,5
Krakow,5/3/2023,8,91,989,9,7,0,80,2023,5
Krakow,12/5/2022,0,94,985,10,0,0,78,2022,12
Warszawa,12/5/2022,0,90,1012,20,0,0,100,2022,12
Warszawa,10/30/2022,12,95,1008,12,2,0,88,2022,10
Warszawa,10/17/2022,16,70,1015,18,0,0,46,2022,10
Warszawa,6/10/2023,19,61,1006,22,0,0,67,2023,6
Krakow,6/10/2023,16,95,979,17,8,0,92,2023,6
Warszawa,11/29/2023,-3,72,994,16,0,0,43,2023,11
Krakow,4/14/2023,10,77,967,26,0,0,92,2023,4
Warszawa,5/3/2023,9,63,1012,12,0,0,22,2023,5
Krakow,10/30/2022,13,65,985,13,0,0,68,2022,10
Krakow,1/20/2023,0,95,976,15,7,52,100,2023,1
Warszawa,4/23/2023,15,52,1000,17,0,0,11,2023,4
Krakow,8/4/2022,21,45,983,14,0,0,0,2022,8
Warszawa,4/13/2023,10,80,995,8,0,0,58,2023,4
Krakow,4/13/2023,8,72,969,7,0,0,79,2023,4
Krakow,10/29/2022,13,64,986,21,0,0,60,2022,10
Warszawa,12/10/2023,0,88,998,20,0,0,99,2023,12
Krakow,12/10/2023,0,86,976,15,1,0,95,2023,12
Krakow,7/30/2023,20,67,975,13,0,0,82,2023,7
Warszawa,2/24/2023,4,95,990,21,1,0,100,2023,2
Krakow,2/24/2023,6,88,968,21,1,0,88,2023,2
Krakow,11/18/2023,1,87,984,15,1,0,100,2023,11
Krakow,10/16/2022,14,69,986,14,0,0,52,2022,10
Warszawa,1/20/2023,0,93,1003,16,0,0,99,2023,1
Warszawa,4/12/2023,8,89,997,5,0,0,88,2023,4
Warszawa,11/25/2022,0,90,1007,7,1,0,100,2022,11
Krakow,11/25/2022,1,92,984,10,0,0,95,2022,11
Krakow,11/17/2023,3,95,974,17,9,0,100,2023,11
Warszawa,11/17/2023,2,93,1001,15,9,0,99,2023,11
Warszawa,8/4/2022,23,47,1007,12,0,0,11,2022,8
Warszawa,7/30/2023,19,76,998,15,1,0,70,2023,7
Warszawa,10/29/2022,13,82,1008,24,0,0,81,2022,10
Warszawa,10/16/2022,15,71,1008,22,0,0,81,2022,10
Krakow,4/23/2023,14,57,975,9,0,0,27,2023,4
Krakow,6/9/2023,17,90,978,10,10,0,92,2023,6
Krakow,4/12/2023,6,83,973,12,1,0,58,2023,4
Warszawa,7/29/2023,20,71,998,10,1,0,38,2023,7
Krakow,7/29/2023,20,79,975,12,6,0,54,2023,7
Warszawa,12/9/2023,-2,86,1005,18,1,0,100,2023,12
Krakow,1/19/2023,0,96,970,10,10,18,98,2023,1
Krakow,12/9/2023,-2,79,980,7,0,0,79,2023,12
Warszawa,5/2/2023,13,70,1006,21,0,0,94,2023,5
Krakow,11/29/2023,-3,70,971,14,0,0,42,2023,11
Warszawa,10/28/2022,13,85,1012,17,0,0,71,2022,10
Krakow,10/15/2022,12,72,980,16,0,0,34,2022,10
Krakow,1/18/2023,0,95,958,14,4,0,80,2023,1
Warszawa,4/22/2023,13,61,1004,6,0,0,13,2023,4
Krakow,4/22/2023,11,59,979,8,0,0,17,2023,4
Warszawa,10/15/2022,13,74,1003,21,0,0,57,2022,10
Krakow,5/2/2023,12,71,982,13,4,0,93,2023,5
Warszawa,4/11/2023,10,83,1001,20,2,0,57,2023,4
Krakow,4/11/2023,9,82,978,15,4,0,91,2023,4
Warszawa,1/19/2023,1,91,994,10,3,0,100,2023,1
Krakow,11/24/2022,0,90,975,10,3,4,99,2022,11
Warszawa,11/24/2022,-1,91,1000,9,5,38,100,2022,11
Krakow,11/16/2023,5,85,978,14,0,0,86,2023,11
Warszawa,11/16/2023,3,83,1002,13,0,0,63,2023,11
Krakow,8/3/2022,20,62,983,5,0,0,23,2022,8
Warszawa,8/3/2022,22,57,1006,5,0,0,36,2022,8
Krakow,10/28/2022,12,74,990,14,0,0,37,2022,10
Warszawa,3/8/2023,0,93,987,20,5,35,76,2023,3
Krakow,3/8/2023,3,89,966,21,1,0,76,2023,3
Warszawa,7/28/2023,15,90,996,19,14,0,78,2023,7
Krakow,7/28/2023,17,66,974,23,0,0,76,2023,7
Warszawa,12/8/2023,-2,78,1010,16,0,0,91,2023,12
Krakow,12/8/2023,-2,82,982,10,0,0,69,2023,12
Warszawa,6/9/2023,20,63,1003,15,1,0,30,2023,6
Warszawa,12/4/2022,0,89,1013,27,0,0,100,2022,12
Warszawa,5/1/2023,10,52,1009,14,0,0,35,2023,5
Krakow,12/4/2022,0,91,985,15,0,0,66,2022,12
Warszawa,8/15/2023,27,42,1008,16,0,0,18,2023,8
Warszawa,11/28/2023,-1,76,989,14,0,0,87,2023,11
Krakow,11/28/2023,-1,91,960,16,7,41,99,2023,11
Krakow,11/27/2023,-1,72,970,14,0,0,83,2023,11
Krakow,5/1/2023,9,60,983,13,0,0,19,2023,5
Krakow,8/15/2023,24,47,985,8,0,0,14,2023,8
Warszawa,8/2/2022,20,62,1006,10,0,0,31,2022,8
Warszawa,11/15/2023,8,86,993,27,2,0,100,2023,11
Krakow,11/15/2023,7,89,972,29,7,0,99,2023,11
Krakow,8/14/2023,24,53,984,8,0,0,9,2023,8
